"7230","1","","","","","","","","","","","NO","NO",""
"7234","","","","","","","tool=axe with CA in it (maybe acclamation Asteri, ""to a star"")","","","","","YES","NO",""
"7244","","2","","","","3","one bird holds olive in beak","1","","","","NO","NO",""
"7248","","","","1","","","","","","","","NO","NO",""
"7249","1","1","1","","","","bird holds olive in feet","1","","","","NO","NO",""
"7250","","1","","","1","","bird holds frond in beak","","","","","NO","NO","2"
"7254","","1","","","","","bird=hen, holding olive, walking right","1","","","","NO","NO",""
"7258","","","","","","1","","","","1","","NO","NO",""
"7260","1","","","","","","","","","","","NO","NO",""
"7263","","1","","","1","","bird with frond in beak","","","","","NO","NO",""
"7267","","1","","","1","","bird grabs frond","","","","","NO","NO",""
"7274","","1","","","1","","bird with branch in beak","","","","","NO","NO",""
"7277","","1","","","1","","one legit palm, bird on a frond","","","1","","NO","NO",""
"7279","","","1","","","","","","","","","NO","NO",""
"7280","","","5","","","","","","","","","NO","NO",""
"7355","","1","","","","","","","","","","NO","NO",""
"7356","","","","","","1","","","","","","NO","NO",""
"7357","","","","1","","","fish is biting something","","","","","NO","NO",""
"7360","","1","","","1","","bird flies with frond in beak","","","","","NO","NO",""
"7368","","","","","","","","","","1","","NO","NO",""
"7371","","","","","","","woman orans","","1","","","NO","NO",""
"7379","","","1","","","","","","","","","NO","NO",""
"7392","","1","","","","","","","","","","NO","NO",""
"7397","","","","","","","vase with flowers","","","","","NO","NO",""
"7401","","1","","","","","bird with raised wings","","","","","NO","NO",""
"7402","","","","","","1","","","","","","NO","NO",""
"7403","","1","","","1","","bird holds frond in beak","","","","","NO","NO",""
"7404","","","","","","","PORTRAIT?: face of an infant above text","","","","","NO","NO",""
"7406","","","","","","","tool=wheel","","","","","YES","NO",""
"7408","1","","","","","","","","","","","NO","NO",""
"7419","","","","","","","","","","1","","NO","NO",""
"7422","","","","","","","some other ""signum"" was impressed three times into the cement","","","1","","NO","NO",""
"7423","","1","","","","","","","","","","NO","NO",""
"7426","","","","","","","two bunches of grapes with pendant sprigs","","","","","NO","NO",""
"7427","","","","","","","PORTRAIT?: one shepherd leaning on a crook; one man orans; one woman orans","","2","","","NO","NO",""
"7435","","1","","","1","","bird holds frond in beak","","","","","NO","NO",""
"7436","","","","","","1","","","","","","NO","NO",""
"7441","","1","","","1","","vase with flowers, overturned, bird sits on it holding frond in beak","","","","","NO","NO",""
"7446","","","","","","1","","","","","","NO","NO",""
"7447","","","","","","1","","","","","","NO","NO",""
"7451","","1","","","1","","bird with frond in feet","","","","","NO","NO",""
"7454","","1","","","","","","","","","","NO","NO",""
"7459","","","1","","","","","","","","","NO","NO",""
"7460","","","","","","","two ""ornamenta"" beside text","","","","","NO","NO",""
"7467","","","","","","","part of a modius with grains spilling out, tool=part of a wheel","","","","","YES","NO",""
"7474","","1","1","","","","","","","","","NO","NO",""
"7478","","1","","","","","","","","","","NO","NO",""
"7481","","1","","","","","","","","","","NO","NO",""
"7486","","","","","","1","","","","","","NO","NO",""
"7490","","","1","","","","","","","1","","NO","NO",""
"7494","","","","","","","","","","1","","NO","NO",""
"7496","","1","","","","","tree or bush; there is some unidentifiable thing beside the tree","","","","","NO","NO","1"
"7503","","1","","","","","","","","","","NO","NO",""
"7504","","","","","","1","","","","","","NO","NO",""
"7508","","","","","","","alabastrum (perfume bottle)","","","","","NO","NO",""
"7515","","1","","","","","PORTRAIT: face of Crescentia; bird holds olive in feet","1","","","","NO","NO",""
"7520","","","","","","1","","","","","","NO","NO",""
"7523","","1","","","1","1","bird holds frond in beak","","","","","NO","NO",""
"7531","","","","","","","PORTRAIT: boy playing with hoop","","","","","NO","YES","1"
"7532","","1","","","","","bird on branch","1","","","","NO","NO",""
"7535","","","","","","","PORTRAIT: face of Cyriacus; also a vase","","","","","NO","NO",""
"7538","","2","","","","","two birds one cup","","","","","NO","NO",""
"7540","","","","","","2","","","","","","NO","NO",""
"7542","","","","","","","wine casks or some kind of barrel (cupa)","","","","","NO","NO",""
"7547","","","","","","","tool=spindle","","","","","YES","NO",""
"7549","","1","","","","1","bird=peacock with leaf in beak","","","","","NO","NO",""
"7551","","","","","","","","","","1","","NO","NO",""
"7561","","1","","","1","","bird holds frond in beak","","","","","NO","NO",""
"7563","","1","","","1","","tool=shoe; bird holds frond in beak","","","","","YES","NO",""
"7566","","1","","","","1","","","","","","NO","NO",""
"7568","","","","","","1","","","","","","NO","NO",""
"7569","","","","","","","modius full of grain","","","","","NO","NO",""
"7571","","","1","","","","","","","","","NO","NO",""
"7573","","","","","","1","text is framed by ""hatcheted"" tabella","","","","","NO","NO",""
"7576","","","1","","","","","","","","","NO","NO",""
"7580","","","","","","","Good Shepherd","","","","","NO","NO",""
"7582","","","","","","","boy orans","","1","","","NO","NO",""
