"N","fragment f' of 10529","C","NO","","NO","NO","YES","75","NO","NO","I",,,,,,,,,,,,,,,,,,,,"","","D","ambulacro","2","","","","","","","1","","","","","","NO","NO","",,,,,,,,,,,,,
"N","fragment c' of 10534","C","NO","","NO","NO","YES","76","NO","NO","I",,,,,,,,,,,,,,,,,,,,"","","L","ambulacro","'","","","","","","","1","","","","","","NO","NO","",,,,,,,,,,,,,
"N","fragment I of 10625","C","NO","","NO","NO","YES","77","NO","NO","I",,,,,,,,,,,,,,,,,,,,"","","D","ambulacro","6","","","","","","","1","","","","","","NO","NO","",,,,,,,,,,,,,
"N","fragment b, b' of 10834","C","NO","","NO","NO","YES","78","NO","NO","I",,,,,,,,,,,,,,,,,,,,"","","Z","cubiculum","b","","","","","","","","PORTRAIT?: head of a man","","","","","NO","NO","",,,,,,,,,,,,,
"N","fragment c of 11633","C","NO","","NO","NO","NO","79","NO","NO","I",,,,,,,,,,,,,,,,,,,,,,,,,,"","1","","","1","","bird with frond in beak","","","","","NO","NO","",,,,,,,,,,,,,
"N","fragment b of 11635","C","NO","","NO","NO","NO","80","NO","NO","I",,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","modius full of grain","","","","","NO","NO","",,,,,,,,,,,,,
"N","fragment b of 11640","C","NO","…ma","NO","NO","NO","81","NO","NO","F",,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","eight-spoked wheel=chi-rho?","","","","","NO","NO","","","1","","at least","",,,,,,,,
"N","fragment a' of 11677","C","NO","","NO","NO","NO","82","NO","NO","I",,,,,,,,,,,,,,,,,,,,,,,,,,"","1","","","1","","bird on frond?","","","","","NO","NO","",,,,,,,,,,,,,
"N","fragment b' of 11677","C","NO","","NO","NO","NO","83","NO","NO","I",,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","1","","NO","NO","",,,,,,,,,,,,,
"N","fragment c of 11725","C","NO","","NO","NO","NO","84","NO","NO","I",,,,,,,,,,,,,,,,,,,,,,,,,,"","","1","","","","","","","","","NO","NO","",,,,,,,,,,,,,
"N","fragment d of 11725","C","NO","","NO","NO","NO","85","NO","NO","I",,,,,,,,,,,,,,,,,,,,,,,,,,"","","1","","","","","","","","","NO","NO","",,,,,,,,,,,,,
"N","fragment e of 11725","C","NO","","NO","NO","NO","86","NO","NO","I",,,,,,,,,,,,,,,,,,,,,,,,,,"","","1","","","","","","","","","NO","NO","",,,,,,,,,,,,,
"N","fragment b'","C","NO","","NO","NO","NO","87","NO","NO","I",,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","man in boat","","","","","NO","NO","1",,,,,,,,,,,,,
"N","fragment c of 11739","C","NO","","NO","NO","NO","88","NO","NO","I",,,,,,,,,,,,,,,,,,,,,,,,,,"","1","","","","","wreath in bird's beak","","","","","NO","NO","",,,,,,,,,,,,,
"N","fragment b of 21900","CM","NO","…nua","NO","NO","YES","89","NO","NO","F",,,,,,,,,,,,,,,,,,,,"","","E","ambulacro","14","","","","1","","","","","","","","","NO","NO","","","1","","at least","",,,,,,,,
"N","fragment b of 22090","CM","NO","Urbica","NO","NO","YES","90","NO","NO","F",,,,,,,,,,,,,,,,,,,,"","","F","ambulacro","","","","","","","","2","","","","","","NO","NO","","","1","","","",,,,,,,,
"N","fragment e of 22243","CM","NO","","NO","NO","YES","91","NO","YES","I",,,,,,,,,,,,,,,,,,,,"","","G","cubiculum","h","","","","1","","","","","","","","","NO","NO","",,,,,,"NO","NO","NO","NO","YES","","NO","NO"
"N","fragment f of 22302","CM","NO","","NO","NO","NO","92","NO","NO","I",,,,,,,,,,,,,,,,,,,,,,,,,,"","1","","","1","","bird with frond in beak","","","","","NO","NO","",,,,,,,,,,,,,
"N","fragment h of 22302","CM","NO","","NO","NO","YES","93","NO","NO","I",,,,,,,,,,,,,,,,,,,,"","","B","ambulacro","6","","","","","","","","boat with contracted sails","","","","","NO","NO","",,,,,,,,,,,,,
"N","fragment m of 22302","CM","NO","","NO","NO","YES","94","NO","NO","I",,,,,,,,,,,,,,,,,,,,"","","D","ambulacro","35","","","1","","","","","","","","","","NO","NO","",,,,,,,,,,,,,
"N","fragment o of 22302","CM","NO","","NO","NO","YES","95","NO","NO","I",,,,,,,,,,,,,,,,,,,,"","","G","ambulacro","6","","","1","","","","","","","","","","NO","NO","",,,,,,,,,,,,,
"N","fragment f of 22303","CM","NO","","NO","NO","YES","96","NO","NO","I",,,,,,,,,,,,,,,,,,,,"","","B","ambulacro","2","","","1","","","","","bird on olive","1","","","","NO","NO","",,,,,,,,,,,,,
"N","fragment g of 22303","CM","NO","","NO","NO","YES","97","NO","NO","I",,,,,,,,,,,,,,,,,,,,"","","B","ambulacro","2","","","","","","","","vase","","","","","NO","NO","",,,,,,,,,,,,,
"T","fragment b of 22344","CM","NO","Aureli(ae …e)ntiae","YES","YES","NO","98","NO","NO","F","TRIED: adult by use of married epithet","","","","",,,"Aur. Annianus-Aureliae …ntiae","husband-wife","NO","NO","YES","NO","benignissime (femin)e","NO","NO","NO","NO","NO",,,,,,,"","1","","","","3","bird has something in beak--leaf? Mini-frond?","","","","","NO","NO","","","2","","","2",,,,,,,,
"N","fragment b of 22478","CM","NO","","NO","NO","NO","99","NO","NO","I",,,,,,,,,,,,,,,,,,,,,,,,,,"","1","","","","1","bird with very long-stemmed hedera in beak","","","","","NO","NO","","","","","1 name, not clear whose","",,,,,,,,
"N","fragment b of 22493","CM","NO","(Hi)laro","NO","NO","NO","100","NO","NO","M",,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","tools=framing square, wheel (ed suggests he's a wagon-maker)","","","","","YES","NO","","","1","","at least","",,,,,,,,
"N","fragment m of 22909","CM","NO","","NO","NO","NO","101","NO","NO","I",,,,,,,,,,,,,,,,,,,,,,,,,,"","","1","","","","","","","","","NO","NO","",,,,,,,,,,,,,
"N","fragment t of 22909","CM","NO","","NO","NO","YES","102","NO","NO","I",,,,,,,,,,,,,,,,,,,,"","","B","ambulacro","10","","1","","","","","1","","","","","","NO","NO","",,,,,,,,,,,,,
"Y","fragment a of 6661","D","NO","Dulcitia","NO","YES","YES","103","YES","NO","F","","","","","5",,,,,"YES","NO","NO","NO","","NO","NO","NO","NO","NO","","Yes","T","ambulacro","1","",,,,,,,,,,,,,,,"","1","","","",,,,,,,,
"N","fragments b, c, d of 6664","D","NO","Epicteto","NO","YES","NO","104","YES","NO","M",,,,,,,,,,"YES","NO","NO","NO","","YES","NO","NO","NO","NO","","Yes","","","","",,,,,,,,,,,,,,,"","1","","","",,,,,,,,
"N","6664b","D","NO","Epipodio","NO","NO","YES","105","YES","NO","M",,,,,,,,,,,,,,,,,,,,"","Yes","P","ambulacro","2","",,,,,,,,,,,,,,,"","1","","at least","",,,,,,,,
"T","fragment c of 6701","D","NO","Felicitati","YES","YES","YES","106","YES","NO","F","TRIED: adult by use of married epithet","","","","",,,"Primigenius-Felicitati et sibi","husband-wife, self","NO","NO","YES","NO","","NO","NO","NO","NO","NO","","Yes","D","ambulacro","2","",,,,,,,,,,,,,,,"","1","","","1",,,,,,,,
"N","fragment b of 7022","D","NO","…niae, …biae","NO","NO","YES","107","YES","NO","F",,,,,,,,,,,,,,,,,,,,"","Yes","D","ambulacro","","",,,,,,,,,,,,,,,"","1","","at least","",,,,,,,,
"N","fragment b of 7036","D","NO","…cle","NO","YES","YES","108","YES","NO","F",,,,,,,,,,"YES","NO","NO","NO","","YES","NO","NO","NO","NO","","Yes","I","cubiculum","b","",,,,,,,,,,,,,,,"","1","","at least","",,,,,,,,
"T","fragment b of 7077","D","NO","","NO","YES","YES","109","YES","NO","I","TRIED: adult by use of married epithet","","","","",,,,,"NO","NO","YES","YES","","NO","NO","NO","NO","NO","","Yes","H","ambulacro","4","",,,,,,,,,,,,,,,,,,,,,,,,,,,
"N","fragment b of 7078","D","NO","","NO","YES","YES","110","YES","NO","M",,,,,,,,,,"YES","NO","NO","NO","","YES","NO","NO","NO","NO","","Yes","I","scala","","",,,,,,,,,,,,,,,,,,,,,,,,,,,
"T","fragment c of 7078","D","NO","","NO","YES","YES","111","YES","NO","M","TRIED: adult by use of married epithet; either lived or was married for at least 30 years","","","","",,,,,"NO","NO","YES","NO","","NO","NO","NO","NO","NO","","Yes","I","ambulacro","12","",,,,,,,,,,,,,,,,,,,,,,,,,,,
"N","fragment b of 7079","D","NO","","NO","YES","YES","112","YES","NO","F",,,,,,,,,,"YES","NO","NO","NO","alumnae","NO","NO","NO","NO","NO","","Yes","Q","ambulacro","4","",,,,,,,,,,,,,,,,,,,,,,,,,,,
"T","fragment b of 7081","D","NO","","NO","YES","YES","113","YES","NO","M","TRIED: adult by use of married epithet","","","","",,,,,"NO","NO","YES","NO","","NO","NO","NO","NO","NO","","Yes","I","cubiculum","b","",,,,,,,,,,,,,,,,,,,,,,,,,,,
"N","fragment a of 7083","D","NO","","YES","YES","YES","114","YES","NO","M",,,,,,,,"parentes","parents-son","NO","NO","NO","NO","sanctissimus","NO","NO","NO","NO","NO","","Yes","L","cubiculum","c","",,,,,,,,,,,,,,,,,,,,,,,,,,,
"N","fragment b of 7087","D","NO","","NO","YES","YES","115","YES","NO","I",,,,,,,,,,"NO","NO","NO","NO","","NO","NO","YES","NO","NO","","Yes","T","ambulacro","1","",,,,,,,,,,,,,,,,,,,,,,,,,,,
"N","fragment a of 7094","D","NO","","NO","NO","YES","116","YES","NO","F",,,,,,,,,,,,,,,,,,,,"","Yes","T","cubiculum","b","",,,,,,,,,,,,,,,,,,,,,,,,,,,
